Zi;0:00 - 1:00;1:00 - 2:00;2:00 - 3:00;3:00 - 4:00;4:00 - 5:00;5:00 - 6:00;6:00 - 7:00;7:00 - 8:00;8:00 - 9:00;9:00 - 10:00;10:00 - 11:00;11:00 - 12:00;12:00 - 13:00;13:00 - 14:00;14:00 - 15:00;15:00 - 16:00;16:00 - 17:00;17:00 - 18:00;18:00 - 19:00;19:00 - 20:00;20:00 - 21:00;21:00 - 22:00;22:00 - 23:00;23:00 - 0:00
01.02.2020;"-";"0,095000";"0,041000";"0,054000";"0,101000";"0,033000";"0,107000";"0,077000";"0,065000";"0,072000";"1,539000";"0,308000";"0,323000";"0,728000";"0,306000";"0,223000";"1,156000";"0,378000";"0,374000";"0,380000";"0,247000";"0,242000";"0,081000";"0,072000"
02.02.2020;"0,044000";"0,062000";"0,117000";"0,038000";"0,037000";"0,093000";"0,081000";"0,036000";"0,107000";"0,188000";"0,184000";"0,190000";"0,174000";"0,183000";"0,275000";"0,170000";"0,162000";"0,171000";"0,211000";"0,232000";"0,224000";"0,227000";"0,146000";"0,228000"
03.02.2020;"0,069000";"0,095000";"0,043000";"0,047000";"0,104000";"0,046000";"0,042000";"0,065000";"0,096000";"0,036000";"0,036000";"0,036000";"0,036000";"0,050000";"0,036000";"0,036000";"0,036000";"0,098000";"0,037000";"0,167000";"0,436000";"0,237000";"0,272000";"0,212000"
04.02.2020;"0,130000";"0,040000";"0,061000";"0,041000";"0,037000";"0,036000";"0,035000";"0,126000";"0,034000";"0,035000";"0,048000";"0,034000";"0,034000";"0,035000";"0,034000";"0,034000";"0,048000";"0,033000";"0,232000";"0,159000";"0,038000";"0,131000";"0,056000";"0,046000"
05.02.2020;"-";"0,051000";"0,107000";"0,039000";"0,039000";"0,095000";"0,039000";"0,052000";"0,117000";"0,057000";"0,101000";"0,033000";"0,037000";"0,128000";"0,031000";"0,035000";"0,213000";"0,199000";"0,346000";"0,178000";"0,133000";"0,115000";"0,260000";"0,030000"
06.02.2020;"0,039000";"0,119000";"0,048000";"0,017000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,090000";"0,243000";"0,192000";"0,122000";"0,149000"
07.02.2020;"0,178000";"0,099000";"0,144000";"0,065000";"0,118000";"0,047000";"0,137000";"0,044000";"0,228000";"0,044000";"0,039000";"0,037000";"0,039000";"0,050000";"0,038000";"0,036000";"0,036000";"0,038000";"0,031000";"0,229000";"0,290000";"0,179000";"0,134000";"0,052000"
08.02.2020;"-";"0,110000";"0,055000";"0,126000";"0,076000";"0,070000";"0,110000";"0,063000";"0,171000";"0,967000";"0,140000";"0,223000";"0,217000";"0,347000";"0,194000";"0,187000";"0,220000";"0,185000";"0,173000";"0,182000";"0,280000";"0,194000";"0,079000";"0,143000"
09.02.2020;"0,076000";"0,073000";"0,078000";"0,102000";"0,039000";"0,099000";"0,037000";"0,108000";"0,039000";"0,081000";"0,278000";"0,168000";"0,114000";"0,040000";"0,046000";"0,164000";"0,146000";"0,137000";"0,147000";"0,145000";"0,098000";"0,093000";"0,064000";"0,081000"
10.02.2020;"0,091000";"0,049000";"0,124000";"0,048000";"0,116000";"0,044000";"0,114000";"0,151000";"0,126000";"0,031000";"0,039000";"0,037000";"0,030000";"0,051000";"0,035000";"0,033000";"0,038000";"0,029000";"0,053000";"0,033000";"0,259000";"1,085000";"0,693000";"0,174000"
11.02.2020;"0,059000";"0,050000";"0,112000";"0,064000";"0,046000";"0,110000";"0,048000";"0,077000";"0,059000";"0,120000";"0,024000";"0,022000";"0,031000";"0,040000";"0,021000";"0,023000";"0,031000";"0,020000";"0,024000";"0,038000";"0,222000";"0,116000";"0,088000";"0,096000"
12.02.2020;"-";"0,030000";"0,118000";"0,027000";"0,049000";"0,099000";"0,024000";"0,077000";"0,080000";"0,026000";"0,026000";"0,021000";"0,031000";"0,021000";"0,034000";"0,030000";"0,020000";"0,026000";"0,026000";"0,120000";"0,173000";"0,275000";"0,415000";"0,204000"
13.02.2020;"0,178000";"0,262000";"0,156000";"0,156000";"0,076000";"0,082000";"0,287000";"0,220000";"0,040000";"0,037000";"0,053000";"0,040000";"0,039000";"0,039000";"0,038000";"0,038000";"0,052000";"0,080000";"0,207000";"0,342000";"0,140000";"0,153000";"0,123000";"0,048000"
14.02.2020;"0,129000";"0,062000";"0,122000";"0,087000";"0,120000";"0,044000";"0,124000";"0,107000";"0,112000";"0,046000";"0,044000";"0,121000";"0,038000";"0,041000";"0,103000";"0,058000";"0,090000";"0,185000";"0,047000";"0,059000";"0,071000";"0,157000";"0,062000";"0,046000"
15.02.2020;"-";"0,056000";"0,048000";"0,070000";"0,101000";"0,049000";"0,045000";"0,044000";"0,051000";"0,041000";"0,036000";"0,129000";"0,044000";"0,042000";"0,038000";"0,034000";"0,029000";"0,084000";"0,263000";"0,298000";"0,317000";"0,223000";"0,067000";"0,050000"
16.02.2020;"0,367000";"0,046000";"0,040000";"0,040000";"0,038000";"0,038000";"0,035000";"0,035000";"0,062000";"0,103000";"0,215000";"0,057000";"0,131000";"0,087000";"0,170000";"0,501000";"0,126000";"0,453000";"0,483000";"0,436000";"0,740000";"0,592000";"0,339000";"0,303000"
17.02.2020;"0,305000";"0,074000";"0,042000";"0,044000";"0,086000";"0,092000";"0,040000";"0,037000";"0,036000";"0,033000";"0,036000";"0,401000";"1,130000";"0,212000";"0,227000";"0,122000";"0,242000";"0,231000";"0,223000";"0,230000";"0,210000";"0,322000";"0,354000";"0,312000"
18.02.2020;"-";"0,448000";"0,476000";"0,479000";"0,277000";"0,098000";"0,105000";"0,048000";"0,114000";"0,043000";"0,038000";"0,038000";"0,042000";"0,075000";"0,046000";"0,036000";"0,038000";"0,037000";"0,052000";"0,090000";"0,134000";"0,094000";"0,281000";"0,286000"
